CustomerID,Lookalikes
C0001,"[('C0140', 0.9970847786242161), ('C0091', 0.9951265681624525), ('C0069', 0.9906997821139443)]"
C0002,"[('C0134', 0.9988254343729811), ('C0143', 0.9984068507738546), ('C0159', 0.9896906116977819)]"
C0003,"[('C0007', 0.9982784219500763), ('C0163', 0.9981980892046323), ('C0005', 0.9937169683106716)]"
C0004,"[('C0075', 0.9940959700670715), ('C0146', 0.9872470666693202), ('C0090', 0.9727646443475545)]"
C0005,"[('C0163', 0.9967993290300547), ('C0007', 0.9943781220520984), ('C0003', 0.9937169683106716)]"
C0006,"[('C0169', 0.9927155299704172), ('C0185', 0.9912291658330781), ('C0081', 0.9878351146332237)]"
C0007,"[('C0163', 0.9996605466302498), ('C0003', 0.9982784219500763), ('C0197', 0.9944602315074049)]"
C0008,"[('C0055', 0.9884759419406832), ('C0173', 0.9820221838936188), ('C0170', 0.9780149641054523)]"
C0009,"[('C0190', 0.9945870670282192), ('C0049', 0.985066530737095), ('C0067', 0.976772394840656)]"
C0010,"[('C0042', 0.9999993257784807), ('C0083', 0.9999773080956796), ('C0029', 0.9963042741444863)]"
C0011,"[('C0074', 0.9902517709247205), ('C0188', 0.9895747095842947), ('C0016', 0.9856948056788932)]"
C0012,"[('C0152', 0.9998838429081259), ('C0199', 0.9933543932281229), ('C0148', 0.9922857380652176)]"
C0013,"[('C0044', 0.9894670045248527), ('C0046', 0.9794851809464971), ('C0056', 0.970359847025688)]"
C0014,"[('C0080', 1.0), ('C0128', 1.0), ('C0060', 1.0)]"
C0015,"[('C0071', 0.9943488308287776), ('C0136', 0.9906974681112442), ('C0052', 0.9830414411305255)]"
C0016,"[('C0011', 0.9856948056788932), ('C0188', 0.984360299197457), ('C0117', 0.9796393082216263)]"
C0017,"[('C0177', 0.9899259920873761), ('C0179', 0.9874137568653901), ('C0035', 0.9871485275724536)]"
C0018,"[('C0051', 0.9953363843556453), ('C0186', 0.9857288426919676), ('C0023', 0.9856714747592136)]"
C0019,"[('C0070', 0.9807227355182783), ('C0115', 0.9784268039541231), ('C0191', 0.9559806535859713)]"
C0020,"[('C0020', 1.0), ('C0130', 1.0), ('C0069', 0.9997753095158303)]"
